chinese,english,source,refs_list
热泪盈眶,tears welling up in one's eyes due to strong emotions or touching moments,JSON,"[""tears welling up in one's eyes due to strong emotions or touching moments""]"
知我罪我,"knowing one's own faults, taking responsibility for one's mistakes",JSON,"[""knowing one's own faults, taking responsibility for one's mistakes""]"
春风和气,a gentle and warm demeanor,JSON,['a gentle and warm demeanor']
指鸡骂狗,criticize someone indirectly,JSON,['criticize someone indirectly']
子曰诗云,The words of the sage are as the verses of a poem,JSON,['the words of the sage are as the verses of a poem']
朗目疏眉,"bright and clear eyes, with wide and sparse eyebrows",JSON,"['bright and clear eyes, with wide and sparse eyebrows']"
黄口小儿,a child who is too young to understand or judge things correctly,JSON,['a child who is too young to understand or judge things correctly']
斑斑点点,"spotted, speckled",JSON,"['spotted, speckled']"
深恶痛疾,deeply hate and abhor,JSON,['deeply hate and abhor']
似水流年,"the passing of time, which is as fleeting as flowing water",JSON,"['the passing of time, which is as fleeting as flowing water']"
坐不窥堂,not having a thorough understanding of a subject or situation,JSON,['not having a thorough understanding of a subject or situation']
号令如山,Orders or commands are as solid and steadfast as mountains,JSON,['orders or commands are as solid and steadfast as mountains']
山崩海啸,a major disaster or catastrophe,JSON,['a major disaster or catastrophe']
百废具兴,bring everything into full swing,JSON,['bring everything into full swing']
低吟浅唱,whispering or singing softly,JSON,['whispering or singing softly']
不紧不慢,neither too fast nor too slow; at a moderate pace,JSON,"['neither too fast nor too slow', 'at a moderate pace']"
连绵不绝,continuous and unbroken,JSON,['continuous and unbroken']
涤瑕荡秽,purge flaws and cleanse impurities,JSON,['purge flaws and cleanse impurities']
依依惜别,"sadly saying goodbye, reluctant to part ways",JSON,"['sadly saying goodbye, reluctant to part ways']"
再造之恩,gratitude for second chance or new life given,JSON,['gratitude for second chance or new life given']
红杏出墙,having an extramarital affair,JSON,['having an extramarital affair']
龙盘虎踞,Dragons winding and tigers squatting,JSON,['dragons winding and tigers squatting']
连枝共冢,sharing the same fate; inextricably linked,JSON,"['sharing the same fate', 'inextricably linked']"
和气致祥,a harmonious and peaceful atmosphere that brings about auspiciousness,JSON,['a harmonious and peaceful atmosphere that brings about auspiciousness']
礼崩乐坏,The breakdown of etiquette leading to great joy and excitement,JSON,['the breakdown of etiquette leading to great joy and excitement']
以微知著,to infer or understand something important or significant from subtle or minor details,JSON,['to infer or understand something important or significant from subtle or minor details']
晓行夜宿,travel day and night; also means being tireless in one's efforts,JSON,"['travel day and night', ""also means being tireless in one's efforts""]"
九州四海,"the whole world, referring to a vast area or region",JSON,"['the whole world, referring to a vast area or region']"
一偏之见,having a biased or one-sided view; having a narrow or limited perspective,JSON,"['having a biased or one-sided view', 'having a narrow or limited perspective']"
四体不勤,being lazy and lacking in diligence in all aspects,JSON,['being lazy and lacking in diligence in all aspects']
含含糊糊,vague or unclear,JSON,['vague or unclear']
生生不已,continuously growing or multiplying without end,JSON,['continuously growing or multiplying without end']
同声相应,"responding in unison, sharing the same opinion or viewpoint",JSON,"['responding in unison, sharing the same opinion or viewpoint']"
绿草如茵,"lush green grass, like a green carpet",JSON,"['lush green grass, like a green carpet']"
天愁地惨,a situation of extreme misery or distress,JSON,['a situation of extreme misery or distress']
箭不虚发,Never miss the target; never fail to deliver on a promise,JSON,"['never miss the target', 'never fail to deliver on a promise']"
通今博古,well-versed in both ancient and modern knowledge,JSON,['well-versed in both ancient and modern knowledge']
一往直前,persevering forward without hesitation or deviation,JSON,['persevering forward without hesitation or deviation']
劫数难逃,"inevitable fate, unable to escape",JSON,"['inevitable fate, unable to escape']"
清新俊逸,clean and elegant in appearance and manner,JSON,['clean and elegant in appearance and manner']
安份守己,to be content and stay in one's place; to behave well and not cause trouble,JSON,"[""to be content and stay in one's place"", 'to behave well and not cause trouble']"
文治武功,Emphasizing both cultural development and martial achievements,JSON,['emphasizing both cultural development and martial achievements']
安定团结,to maintain stability and unity,JSON,['to maintain stability and unity']
仗马寒蝉,relying on borrowed power; using resources or connections that do not belong to oneself,JSON,"['relying on borrowed power', 'using resources or connections that do not belong to oneself']"
白雪皑皑,covered in pure white snow,JSON,['covered in pure white snow']
鼓角齐鸣,united and strong; everyone working together harmoniously,JSON,"['united and strong', 'everyone working together harmoniously']"
打躬作揖,making a deep bow with hands folded in front as a sign of respect or apology,JSON,['making a deep bow with hands folded in front as a sign of respect or apology']
残茶剩饭,"leftover tea and rice; refers to something that is no longer wanted or valued, or leftovers that no one wants",JSON,"['leftover tea and rice', 'refers to something that is no longer wanted or valued, or leftovers that no one wants']"
攀高接贵,associating with and seeking connections with influential and high-status individuals,JSON,['associating with and seeking connections with influential and high-status individuals']
万壑争流,"""many streams compete in the same gully"" (describes a situation where a large number of people or things are competing for the same limited resources)",JSON,['many streams compete in the same gully']
科班出身,having a formal education or training in a specific field or profession,JSON,['having a formal education or training in a specific field or profession']
铁杵磨针,perseverance can accomplish difficult tasks,JSON,['perseverance can accomplish difficult tasks']
七上八落,"unstable or unpredictable, with frequent ups and downs",JSON,"['unstable or unpredictable, with frequent ups and downs']"
初试锋芒,showing one's initial talent and potential,JSON,"[""showing one's initial talent and potential""]"
量力而为,to do something within one's capacity and ability,JSON,"[""to do something within one's capacity and ability""]"
铁画银钩,a flawless and exquisite piece of calligraphy or painting,JSON,['a flawless and exquisite piece of calligraphy or painting']
盛况空前,unprecedented grandeur or magnificence,JSON,['unprecedented grandeur or magnificence']
地灵人杰,blessed with a favorable environment and outstanding people; also refers to the combination of a good geographical location and talented individuals,JSON,"['blessed with a favorable environment and outstanding people', 'also refers to the combination of a good geographical location and talented individuals']"
铩羽而归,to return empty-handed or suffer a defeat,JSON,['to return empty-handed or suffer a defeat']
胸怀大志,to have ambitious aspirations,JSON,['to have ambitious aspirations']
唇干口燥,having dry lips and mouth,JSON,['having dry lips and mouth']
睡眼惺忪,"to have sleepy and unfocused eyes, typically in the morning",JSON,"['to have sleepy and unfocused eyes, typically in the morning']"
爱人以德,treat someone with love and virtue,JSON,['treat someone with love and virtue']
拍马溜须,hypocritical compliments,JSON,['hypocritical compliments']
焚林而猎,to set fire to the forest to flush out the game,JSON,['to set fire to the forest to flush out the game']
因利乘便,taking advantage of a situation for one's own benefit,JSON,"[""taking advantage of a situation for one's own benefit""]"
膏腴之地,a place of abundant resources or favorable conditions,JSON,['a place of abundant resources or favorable conditions']
富贵浮云,"Riches and honors are like passing clouds, temporary and insubstantial",JSON,"['riches and honors are like passing clouds, temporary and insubstantial']"
洁身自爱,maintain one's virtue and self-respect,JSON,"[""maintain one's virtue and self-respect""]"
赤诚相待,"treating each other with utmost sincerity and trust, showing honesty and loyalty towards each other",JSON,"['treating each other with utmost sincerity and trust, showing honesty and loyalty towards each other']"
甘居人后,being content with being in a subordinate position,JSON,['being content with being in a subordinate position']
苦难深重,a heavy burden of suffering and hardship,JSON,['a heavy burden of suffering and hardship']
死心踏地,"determined and resolute, not willing to give up",JSON,"['determined and resolute, not willing to give up']"
弃笔从戎,abandon writing and join the army,JSON,['abandon writing and join the army']
人神共愤,"incensed and outraged, both humans and gods",JSON,"['incensed and outraged, both humans and gods']"
刚毅木讷,stoic and introverted,JSON,['stoic and introverted']
假道灭虢,using a false pretense to eliminate or destroy someone,JSON,['using a false pretense to eliminate or destroy someone']
消极怠工,being lazy and unproductive,JSON,['being lazy and unproductive']
求神问卜,seeking divine intervention or consulting fortune-telling for guidance,JSON,['seeking divine intervention or consulting fortune-telling for guidance']
有何面目,have no face to show,JSON,['have no face to show']
傲霜斗雪,facing challenges and adversities with courage and determination,JSON,['facing challenges and adversities with courage and determination']
魂飞神丧,"being terrified or overwhelmed, losing one's mental and emotional stability",JSON,"[""being terrified or overwhelmed, losing one's mental and emotional stability""]"
顾盼生辉,looking around with a confident and radiant expression; also refers to having a bright and distinguished presence,JSON,"['looking around with a confident and radiant expression', 'also refers to having a bright and distinguished presence']"
磊磊落落,honest and straightforward,JSON,['honest and straightforward']
追根求源,seeking the root and pursuing the origin; refers to looking for the fundamental cause or source of something,JSON,"['seeking the root and pursuing the origin', 'refers to looking for the fundamental cause or source of something']"
出师不利,Unfavorable outcome in one's endeavors; to have a bad start,JSON,"[""unfavorable outcome in one's endeavors"", 'to have a bad start']"
瘦骨如柴,"extremely thin, like a piece of firewood",JSON,"['extremely thin, like a piece of firewood']"
披红戴花,dressed up for a special occasion; to celebrate with joy and happiness,JSON,"['dressed up for a special occasion', 'to celebrate with joy and happiness']"
炊金馔玉,extravagant and luxurious meals,JSON,['extravagant and luxurious meals']
何足道哉,"""Not worth mentioning"" or ""insignificant""",JSON,"['not worth mentioning', 'insignificant']"
浑浑沌沌,confused and chaotic,JSON,['confused and chaotic']
博览群书,"well-read, having extensive knowledge",JSON,"['well-read, having extensive knowledge']"
分进合击,divide and conquer,JSON,['divide and conquer']
钟鼎山林,"an idyllic and peaceful place, like a tranquil mountain with ancient trees and clear streams",JSON,"['an idyllic and peaceful place, like a tranquil mountain with ancient trees and clear streams']"
二龙戏珠,"two great talents competing, causing a brilliant outcome",JSON,"['two great talents competing, causing a brilliant outcome']"
呼卢喝雉,making loud noises to scare away opponents; using intimidation tactics,JSON,"['making loud noises to scare away opponents', 'using intimidation tactics']"
合浦珠还,returning a priceless treasure back to its rightful owner,JSON,['returning a priceless treasure back to its rightful owner']
博施济众,generously helping and benefiting the masses,JSON,['generously helping and benefiting the masses']
金风送爽,refreshing breeze in autumn,JSON,['refreshing breeze in autumn']
生荣死哀,to mourn for the dead and celebrate the living,JSON,['to mourn for the dead and celebrate the living']
玉润珠圆,jade-like and round; referring to beautiful and flawless appearance,JSON,"['jade-like and round', 'referring to beautiful and flawless appearance']"
情理难容,unable to tolerate based on reason and emotions,JSON,['unable to tolerate based on reason and emotions']
由表及里,from the surface to the inside,JSON,['from the surface to the inside']
长途跋涉,long and arduous journey,JSON,['long and arduous journey']
鬼计多端,having an abundance of deceitful schemes or tricks up one's sleeve,JSON,"[""having an abundance of deceitful schemes or tricks up one's sleeve""]"
言不尽意,"expressing dissatisfaction or disappointment with words, not being able to fully articulate one's true feelings",JSON,"[""expressing dissatisfaction or disappointment with words, not being able to fully articulate one's true feelings""]"
率马以骥,"taking a horse as a guide, leading others towards excellence",JSON,"['taking a horse as a guide, leading others towards excellence']"
彪炳千古,to leave a great and lasting influence for future generations,JSON,['to leave a great and lasting influence for future generations']
旷世奇才,a rare genius that appears once in a thousand years,JSON,['a rare genius that appears once in a thousand years']
洞察其奸,to see through someone's deceit or ulterior motives,JSON,"[""to see through someone's deceit or ulterior motives""]"
以古为鉴,"""Taking ancient wisdom as a lesson"" or ""learning from history""",JSON,"['taking ancient wisdom as a lesson', 'learning from history']"
一唱三叹,repeatedly expressing deep sadness or regret,JSON,['repeatedly expressing deep sadness or regret']
得而复失,to gain something only to lose it again,JSON,['to gain something only to lose it again']
肉食者鄙,Someone who only values material gains and lacks ambition and vision,JSON,['someone who only values material gains and lacks ambition and vision']
艳如桃李,as beautiful and vibrant as peach and plum blossoms,JSON,['as beautiful and vibrant as peach and plum blossoms']
沉鱼落雁,being exceptionally beautiful or attractive,JSON,['being exceptionally beautiful or attractive']
蓬头跣足,disheveled appearance; unkempt and barefoot,JSON,"['disheveled appearance', 'unkempt and barefoot']"
吹吹打打,to have a superficial or casual approach towards something,JSON,['to have a superficial or casual approach towards something']
积土成山,accumulate small efforts and they will lead to great achievements,JSON,['accumulate small efforts and they will lead to great achievements']
好学不倦,eager to learn and never tired,JSON,['eager to learn and never tired']
浩气凛然,having a majestic and awe-inspiring demeanor,JSON,['having a majestic and awe-inspiring demeanor']
劈风斩浪,"fearlessly face challenges, overcome obstacles with determination",JSON,"['fearlessly face challenges, overcome obstacles with determination']"
挥霍无度,squandering without restraint,JSON,['squandering without restraint']
幕天席地,"creating a grand scene, referring to a magnificent landscape or spectacular setting",JSON,"['creating a grand scene, referring to a magnificent landscape or spectacular setting']"
枯燥无味,dull and boring,JSON,['dull and boring']
春寒料峭,chilliness of early spring,JSON,['chilliness of early spring']
倚马可待,rely on and wait for an opportunity,JSON,['rely on and wait for an opportunity']
抱头痛哭,"crying with one's head held in their hands, expressing extreme sadness or frustration",JSON,"[""crying with one's head held in their hands, expressing extreme sadness or frustration""]"
猴年马月,"a very long time, a distant future",JSON,"['a very long time, a distant future']"
先公后私,putting public interests before personal ones,JSON,['putting public interests before personal ones']
眼观六路,"being extremely vigilant and observant, paying attention to all directions and being cautious of potential threats or dangers",JSON,"['being extremely vigilant and observant, paying attention to all directions and being cautious of potential threats or dangers']"
橙黄桔绿,"vibrant and colorful, referring to a variety of bright and eye-catching colors",JSON,"['vibrant and colorful, referring to a variety of bright and eye-catching colors']"
融为一体,to blend or integrate into one cohesive whole,JSON,['to blend or integrate into one cohesive whole']
八百孤寒,extremely poor and lonely,JSON,['extremely poor and lonely']
酣畅淋漓,fully immersed and deeply engaged; to feel greatly satisfied and fulfilled,JSON,"['fully immersed and deeply engaged', 'to feel greatly satisfied and fulfilled']"
二人同心,two people working together with a shared goal or purpose,JSON,['two people working together with a shared goal or purpose']
参横斗转,engaging in a fierce battle with unpredictable turns and twists,JSON,['engaging in a fierce battle with unpredictable turns and twists']
迁客骚人,a person who frequently changes residence and leads a wandering life,JSON,['a person who frequently changes residence and leads a wandering life']
虎狼之势,the powerful and fierce momentum of a tiger and a wolf,JSON,['the powerful and fierce momentum of a tiger and a wolf']
得失成败,"success or failure, gains or losses",JSON,"['success or failure, gains or losses']"
惊涛怒浪,stormy waves and angry surges,JSON,['stormy waves and angry surges']
必争之地,"a place worth fighting for, a battleground",JSON,"['a place worth fighting for, a battleground']"
敌忾同仇,"Unite against a common enemy, despite personal conflicts",JSON,"['unite against a common enemy, despite personal conflicts']"
祛病延年,prevent illness and prolong life,JSON,['prevent illness and prolong life']
悔恨交加,"a mixture of regret and remorse, feeling both sorry and guilty for one's actions",JSON,"[""a mixture of regret and remorse, feeling both sorry and guilty for one's actions""]"
虚无飘渺,"elusive and intangible, like something that does not really exist",JSON,"['elusive and intangible, like something that does not really exist']"
一表人才,talented and outstanding in appearance,JSON,['talented and outstanding in appearance']
恍如梦寐,feeling as if in a dream state or daydreaming,JSON,['feeling as if in a dream state or daydreaming']
龙凤呈祥,auspicious and harmonious; symbolizing prosperity and good fortune,JSON,"['auspicious and harmonious', 'symbolizing prosperity and good fortune']"
乐此不倦,"never get tired of it, always enjoy doing it",JSON,"['never get tired of it, always enjoy doing it']"
过路财神,unexpected financial windfall; refers to unexpectedly coming across wealth or good fortune while passing by,JSON,"['unexpected financial windfall', 'refers to unexpectedly coming across wealth or good fortune while passing by']"
争奇斗艳,"to compete for attention or to show off, often in a flashy or extravagant way",JSON,"['to compete for attention or to show off, often in a flashy or extravagant way']"
不言不语,remain silent,JSON,['remain silent']
老泪纵横,"""tears streaming down the face of an old person"" (used to describe extreme sadness or grief of an old person)",JSON,['tears streaming down the face of an old person']
衣衫褴褛,wearing tattered clothes,JSON,['wearing tattered clothes']
生生不息,continuously grow and develop,JSON,['continuously grow and develop']
诗礼之家,a family that values poetry and rituals,JSON,['a family that values poetry and rituals']
各有所长,each person has their own strengths or specialties,JSON,['each person has their own strengths or specialties']
话中有话,having a hidden meaning or message within one's words,JSON,"[""having a hidden meaning or message within one's words""]"
暗室亏心,having a guilty conscience due to engaging in secret and dishonest activities,JSON,['having a guilty conscience due to engaging in secret and dishonest activities']
收买人心,to win over or sway people's hearts; to gain the support or favor of others through bribery or other means,JSON,"[""to win over or sway people's hearts"", 'to gain the support or favor of others through bribery or other means']"
授人口实,giving practical knowledge or advice to someone,JSON,['giving practical knowledge or advice to someone']
不齿于人,"looking down upon someone, finding someone's behavior or character contemptible",JSON,"[""looking down upon someone, finding someone's behavior or character contemptible""]"
病骨支离,completely broken and fragmentary bones,JSON,['completely broken and fragmentary bones']
一木难支,"unable to withstand pressure, unable to support oneself",JSON,"['unable to withstand pressure, unable to support oneself']"
旦夕之间,"within a short period of time, very soon",JSON,"['within a short period of time, very soon']"
沉疴难起,hard to recover from a chronic illness,JSON,['hard to recover from a chronic illness']
伉俪情深,Deep affection and love between husband and wife,JSON,['deep affection and love between husband and wife']
洞房花烛,honeymoon,JSON,['honeymoon']
反面无情,show no mercy or compassion to the enemy or opponent,JSON,['show no mercy or compassion to the enemy or opponent']
牛毛细雨,a slight and drizzling rain that is barely noticeable,JSON,['a slight and drizzling rain that is barely noticeable']
一分为二,dividing into two parts; also refers to analyzing or breaking down a complex problem into simpler components,JSON,"['dividing into two parts', 'also refers to analyzing or breaking down a complex problem into simpler components']"
在官言官,speaking based on one's position or authority,JSON,"[""speaking based on one's position or authority""]"
惊喜交加,a combination of surprise and joy,JSON,['a combination of surprise and joy']
乱琼碎玉,"chaotic and disordered, causing damage or destruction to precious things",JSON,"['chaotic and disordered, causing damage or destruction to precious things']"
闻鸡起舞,being industrious and motivated; getting up early and being active,JSON,"['being industrious and motivated', 'getting up early and being active']"
自不待言,"goes without saying, self-evident",JSON,"['goes without saying, self-evident']"
分毫不取,"not taking even a tiny bit, refusing to accept anything",JSON,"['not taking even a tiny bit, refusing to accept anything']"
不负众望,live up to the expectations of the public,JSON,['live up to the expectations of the public']
雷霆之怒,severe anger or punishment,JSON,['severe anger or punishment']
绝代佳人,"a peerless beauty, incomparable woman",JSON,"['a peerless beauty, incomparable woman']"
鹰击长空,"a powerful and swift attack, particularly when referring to a dominant person or force in battle",JSON,"['a powerful and swift attack, particularly when referring to a dominant person or force in battle']"
荆天棘地,a difficult or perilous situation,JSON,['a difficult or perilous situation']
鸡犬不闻,a situation where even the chickens and dogs are not disturbed; a peaceful and quiet environment,JSON,"['a situation where even the chickens and dogs are not disturbed', 'a peaceful and quiet environment']"
恩恩爱爱,"Having a harmonious and affectionate relationship, filled with love and affection",JSON,"['having a harmonious and affectionate relationship, filled with love and affection']"
稍胜一筹,slightly better or more successful than someone or something,JSON,['slightly better or more successful than someone or something']
计日可待,"to be expected or imminent, to happen very soon",JSON,"['to be expected or imminent, to happen very soon']"
欲言又止,to have something to say but hesitate to say it,JSON,['to have something to say but hesitate to say it']
奇花异草,rare and exotic flowers and plants; also refers to unique and extraordinary people or things,JSON,"['rare and exotic flowers and plants', 'also refers to unique and extraordinary people or things']"
浩气长存,a majestic spirit and lofty aspiration that remains steadfast and enduring,JSON,['a majestic spirit and lofty aspiration that remains steadfast and enduring']
秦楼楚馆,a grand and luxurious residence or complex,JSON,['a grand and luxurious residence or complex']
不怀好意,having ill intentions,JSON,['having ill intentions']
四时八节,"Throughout the year, at all times and in all seasons.",JSON,"['throughout the year, at all times and in all seasons.']"
知遇之恩,gratitude for someone who has appreciated and supported you,JSON,['gratitude for someone who has appreciated and supported you']
骑驴觅驴,Searching for something that is right in front of you,JSON,['searching for something that is right in front of you']
际会风云,being present at a significant event or important meeting,JSON,['being present at a significant event or important meeting']
锥处囊中,"to have a critical situation under control, to be well-prepared for any situation, to be resourceful and capable",JSON,"['to have a critical situation under control, to be well-prepared for any situation, to be resourceful and capable']"
春色满园,"the garden is full of beautiful flowers and vibrant colors, symbolizing a lively and joyful atmosphere",JSON,"['the garden is full of beautiful flowers and vibrant colors, symbolizing a lively and joyful atmosphere']"
民生国计,the well-being of the people is the foundation of a country's prosperity,JSON,"[""the well-being of the people is the foundation of a country's prosperity""]"
仓皇失措,to panic and lose one's composure,JSON,"[""to panic and lose one's composure""]"
亦庄亦谐,both solemn and humorous,JSON,['both solemn and humorous']
耳不旁听,refusing to listen to others' opinions or advice,JSON,"[""refusing to listen to others' opinions or advice""]"
天地不容,not tolerated by heaven and earth; refers to a situation or action that goes against the natural order and is bound to fail,JSON,"['not tolerated by heaven and earth', 'refers to a situation or action that goes against the natural order and is bound to fail']"
败兴而归,returning home disappointed or disheartened after a failed attempt or experience,JSON,['returning home disappointed or disheartened after a failed attempt or experience']
路断人稀,"very few people or vehicles on the road, indicating a remote or isolated place",JSON,"['very few people or vehicles on the road, indicating a remote or isolated place']"
借箸代筹,using someone else's power or influence to achieve one's own goals,JSON,"[""using someone else's power or influence to achieve one's own goals""]"
百足之虫,"a small creature that may seem insignificant, but can still cause harm or trouble",JSON,"['a small creature that may seem insignificant, but can still cause harm or trouble']"
妙语连珠,being adept at making witty remarks; speaking in an articulate and clever manner,JSON,"['being adept at making witty remarks', 'speaking in an articulate and clever manner']"
千金市骨,a wealthy family's daughter has great looks but lacks talent or intelligence,JSON,"[""a wealthy family's daughter has great looks but lacks talent or intelligence""]"
不悱不发,keeping quiet and not expressing one's thoughts or feelings,JSON,"[""keeping quiet and not expressing one's thoughts or feelings""]"
猛虎出山,a formidable opponent appearing unexpectedly,JSON,['a formidable opponent appearing unexpectedly']
卧不安席,"Unable to rest, uneasy in one's seat",JSON,"[""unable to rest, uneasy in one's seat""]"
新愁旧恨,new worries and old grudges,JSON,['new worries and old grudges']
七尺之躯,a person of great height or stature,JSON,['a person of great height or stature']
心中无数,countless thoughts in one's heart,JSON,"[""countless thoughts in one's heart""]"
群轻折轴,a group of talented individuals with each person having their own unique skills and strengths,JSON,['a group of talented individuals with each person having their own unique skills and strengths']
骚人墨客,an outstanding writer or poet,JSON,['an outstanding writer or poet']
疾风劲草,strong and resilient in the face of challenges,JSON,['strong and resilient in the face of challenges']
生机勃勃,full of vitality; in a state of vigorous growth,JSON,"['full of vitality', 'in a state of vigorous growth']"
卖友求荣,betraying friends for personal gain,JSON,['betraying friends for personal gain']
白衣秀士,"""a scholar dressed in white robes"", metaphorically refers to a person of noble character and high moral standing",JSON,['a scholar dressed in white robes']
厚积薄发,accumulate in silence and make sudden success,JSON,['accumulate in silence and make sudden success']
临难不惧,fearless in the face of difficulties,JSON,['fearless in the face of difficulties']
鼓舞人心,inspire and encourage people,JSON,['inspire and encourage people']
花前月下,romantic encounters under the moon or in a beautiful setting,JSON,['romantic encounters under the moon or in a beautiful setting']
心惊胆寒,to be terrified or extremely frightened,JSON,['to be terrified or extremely frightened']
丈二和尚,to be clueless or confused about something that one should know well,JSON,['to be clueless or confused about something that one should know well']
乱臣贼子,"treacherous courtiers and traitors; used to describe disloyal and untrustworthy individuals, especially those who betray their own country or cause harm to the state",JSON,"['treacherous courtiers and traitors', 'used to describe disloyal and untrustworthy individuals, especially those who betray their own country or cause harm to the state']"
牛角挂书,to hang a book on a bull's horn,JSON,"[""to hang a book on a bull's horn""]"
有志竟成,having a strong determination can lead to success,JSON,['having a strong determination can lead to success']
白首相知,to have a true understanding of one another after a long time of friendship,JSON,['to have a true understanding of one another after a long time of friendship']
哭哭啼啼,crying and sobbing,JSON,['crying and sobbing']
精锐之师,an elite force; a highly skilled and competent team,JSON,"['an elite force', 'a highly skilled and competent team']"
难得糊涂,better to remain ignorant of the truth in some situations,JSON,['better to remain ignorant of the truth in some situations']
胶柱鼓瑟,to have no initiative; to be timid or indecisive,JSON,"['to have no initiative', 'to be timid or indecisive']"
永垂青史,to be remembered in history forever,JSON,['to be remembered in history forever']
肉眼凡胎,limited by one's ordinary vision,JSON,"[""limited by one's ordinary vision""]"
相煎太急,"to harm oneself while trying to harm someone else, suffering from one's own actions",JSON,"[""to harm oneself while trying to harm someone else, suffering from one's own actions""]"
丑态毕露,revealing one's ugly appearance or true colors,JSON,"[""revealing one's ugly appearance or true colors""]"
彼竭我盈,"when one side becomes exhausted, the other side becomes abundant",JSON,"['when one side becomes exhausted, the other side becomes abundant']"
无边风月,endless beautiful scenery,JSON,['endless beautiful scenery']
兴利除害,removing evil and promoting good,JSON,['removing evil and promoting good']
难如登天,"extremely difficult, like climbing up to the sky",JSON,"['extremely difficult, like climbing up to the sky']"
等闲之辈,ordinary people of no significance,JSON,['ordinary people of no significance']
风清月朗,"a scene that is peaceful and serene, with clear and bright moonlight in the calm night sky",JSON,"['a scene that is peaceful and serene, with clear and bright moonlight in the calm night sky']"
草草收兵,hastily withdraw or wrap things up,JSON,['hastily withdraw or wrap things up']
泛泛而谈,speaking in general and vague terms,JSON,['speaking in general and vague terms']
女大当嫁,"When a woman is grown up, it is time for her to get married.",JSON,"['when a woman is grown up, it is time for her to get married.']"
没没无闻,obscure and unknown,JSON,['obscure and unknown']
抚心自问,to examine one's own conscience,JSON,"[""to examine one's own conscience""]"
持论公允,maintaining an impartial and fair attitude in discussions or debates,JSON,['maintaining an impartial and fair attitude in discussions or debates']
半吐半露,to reveal only part of the truth or one's true feelings,JSON,"[""to reveal only part of the truth or one's true feelings""]"
磬竹难书,difficult to write on a bamboo slip musical instrument,JSON,['difficult to write on a bamboo slip musical instrument']
有福同享,to enjoy blessings together,JSON,['to enjoy blessings together']
克己复礼,Self-discipline and respectful behavior; refers to restraining oneself and observing proper etiquette.,JSON,"['self-discipline and respectful behavior', 'refers to restraining oneself and observing proper etiquette.']"
选贤任能,selecting the talented and appointing the capable; referring to the practice of appointing people to positions based on their abilities and qualifications,JSON,"['selecting the talented and appointing the capable', 'referring to the practice of appointing people to positions based on their abilities and qualifications']"
不拘形迹,"not bound by conventionalities, unconventional",JSON,"['not bound by conventionalities, unconventional']"
燕颔虎颈,slender neck like a swan and powerful build like a tiger,JSON,['slender neck like a swan and powerful build like a tiger']
挺胸凸肚,to stand tall and stick out one's belly,JSON,"[""to stand tall and stick out one's belly""]"
前俯后仰,body bending and leaning forward and backward,JSON,['body bending and leaning forward and backward']
夜阑人静,late at night when everyone is asleep or quiet,JSON,['late at night when everyone is asleep or quiet']
被山带河,to be surrounded by mountains and rivers,JSON,['to be surrounded by mountains and rivers']
神号鬼哭,a shocking or terrifying scene that even ghosts would cry,JSON,['a shocking or terrifying scene that even ghosts would cry']
奖罚分明,clear distinction between rewards and punishments,JSON,['clear distinction between rewards and punishments']
不徇私情,not showing favoritism,JSON,['not showing favoritism']
怨天怨地,blaming the heavens and the earth,JSON,['blaming the heavens and the earth']
碌碌无能,mediocre and of no ability; lack of talent or capability,JSON,"['mediocre and of no ability', 'lack of talent or capability']"
欺贫爱富,discriminating against the poor and favoring the rich,JSON,['discriminating against the poor and favoring the rich']
一蹴可几,achieving something easily and quickly with just one move,JSON,['achieving something easily and quickly with just one move']
一佛出世,an extraordinary person has appeared,JSON,['an extraordinary person has appeared']
无所不通,be knowledgeable about everything,JSON,['be knowledgeable about everything']
吉凶未卜,uncertain whether it will be good or bad,JSON,['uncertain whether it will be good or bad']
不安于室,not content with staying at home; not willing to be confined to a comfortable and familiar environment,JSON,"['not content with staying at home', 'not willing to be confined to a comfortable and familiar environment']"
消息灵通,"well-informed, keeping up with the latest news",JSON,"['well-informed, keeping up with the latest news']"
有口难辩,"difficult to argue back, speechless",JSON,"['difficult to argue back, speechless']"
正气凛然,"having a strong and upright spirit, showing a righteous and dignified demeanor",JSON,"['having a strong and upright spirit, showing a righteous and dignified demeanor']"
壮士断腕,making a drastic decision or sacrifice for the greater good,JSON,['making a drastic decision or sacrifice for the greater good']
傲慢无礼,arrogant and rude,JSON,['arrogant and rude']
不咎既往,"not blame the past, not hold grudges for past actions",JSON,"['not blame the past, not hold grudges for past actions']"
伶仃孤苦,to be lonely and destitute; to be in a helpless and desolate situation,JSON,"['to be lonely and destitute', 'to be in a helpless and desolate situation']"
怨天忧人,blaming the heavens and being worried about humanity,JSON,['blaming the heavens and being worried about humanity']
红豆相思,yearning for someone or something; longing for love,JSON,"['yearning for someone or something', 'longing for love']"
八方呼应,receiving responses and support from all directions,JSON,['receiving responses and support from all directions']
海纳百川,"being inclusive and embracing a variety of ideas, cultures, and viewpoints",JSON,"['being inclusive and embracing a variety of ideas, cultures, and viewpoints']"
疾风迅雷,"swift and powerful, like a raging storm",JSON,"['swift and powerful, like a raging storm']"
佛头著粪,an insult to someone who is highly respected or revered,JSON,['an insult to someone who is highly respected or revered']
自相鱼肉,"to turn against each other, to harm each other's interests",JSON,"[""to turn against each other, to harm each other's interests""]"
